"year","canton","party","party_id","party_strength","seats_with","seat_difference","seats_without","list_id"
2011,"TI",,1,24.8465984470731,2,0,2,
2011,"UR",,1,74.2680412371134,1,0,1,
2011,"VD",,1,21.9963477849089,4,0,4,"VD11B"
2011,"VS",,1,18.7999191482672,1,0,1,
2011,"ZG",,1,19.2300787361186,1,0,1,"ZG11B"
2011,"ZH",,1,11.6432459980402,4,0,4,
2011,"AG",,31,5.66782546837178,1,0,1,"AG11C"
2011,"BE",,31,5.29139542933839,2,1,1,"BE11C"
2011,"BL",,31,5.00157460886391,0,0,0,"BL11B"
2011,"BS",,31,5.82603830117503,0,0,0,"BS11B"
2011,"FR",,31,3.54989635771395,0,0,0,"FR11D"
2011,"GE",,31,3.16875589071243,0,0,0,"GE11B"
2011,"GR",,31,8.25017782745656,1,1,0,"GR11A"
2011,"LU",,31,6.12109321403904,1,1,0,"LU11C"
2011,"SG",,31,5.97361210738602,1,1,0,"SG11D"
2011,"SO",,31,4.97540515649256,0,0,0,"SO11C"
2011,"TG",,31,5.21453283220119,1,1,0,"TG11B"
2011,"VD",,31,5.10080513356058,1,0,1,"VD11C"
2011,"ZG",,31,6.79045591717747,0,0,0,
2011,"ZH",,31,11.4850520538663,4,0,4,"ZH11C"
2011,"AG",,13,7.30500148718346,1,0,1,"AG11C"
2011,"AR",,13,6.3971517170093,0,0,0,
2011,"BE",,13,9.41472152580716,3,0,3,"BE11B"
2011,"BL",,13,13.5999129906855,1,0,1,"BL11A"
2011,"BS",,13,13.4389834485497,0,-1,1,"BS11C"
2011,"FR",,13,4.95553957443208,0,0,0,"FR11A"
2011,"GE",,13,14.0229929361926,2,0,2,"GE11A"
2011,"GR",,13,2.15797852521763,0,0,0,"GR11A"
2011,"JU",,13,10.9651419594272,0,0,0,"JU11A"
2011,"LU",,13,8.27546004708414,1,0,1,"LU11B"
2011,"NE",,13,11.6529570431797,1,1,0,"NE11B"
2011,"NW",,13,19.5679012345679,0,0,0,
2011,"SG",,13,6.39165559331601,1,0,1,"SG11C"
2011,"SO",,13,7.49754215148853,0,0,0,"SO11D"
2011,"SZ",,13,3.83128221088669,0,0,0,"SZ11A"
2011,"TG",,13,7.0363090927899,0,0,0,"TG11A"
2011,"TI",,13,6.74076207462516,0,0,0,
2011,"VD",,13,11.5748661752108,2,0,2,"VD11A"
2011,"VS",,13,4.99046682419358,0,0,0,"VS11A"
2011,"ZG",,13,15.3642293520727,0,0,0,"ZG11A"
2011,"ZH",,13,8.39431451238793,3,0,3,"ZH11B"
2011,"TI",,18,17.5403470663146,2,0,2,"TI11A"
2011,"GE",,8,9.78232240219008,1,0,1,
2011,"VD",,8,0.528761617258562,0,0,0,
2011,"BE",,9,0.34264020014967,0,0,0,"BE11B"
2011,"GE",,9,1.27858859677379,0,0,0,"GE11A"
2011,"NE",,9,10.401034352081,0,0,0,"NE11B"
2011,"TI",,9,1.22142914149493,0,0,0,"TI11B"
2011,"VD",,9,2.11999196526229,0,0,0,"VD11A"
2011,"ZH",,9,0.23880236932352,0,0,0,"ZH11D"
2011,"AG",,16,0.379313696686657,0,0,0,
2011,"BE",,16,0.560954034284478,0,0,0,
2011,"BL",,16,0.67562083418557,0,0,0,
2011,"LU",,16,0.212785584222395,0,0,0,
2011,"VD",,16,0.0879688609878595,0,0,0,
2011,"ZH",,16,0.281454925439551,0,0,0,
2011,"GE",,9,5.20456775133783,0,0,0,"GE11A"
2011,"VD",,9,1.80642718044727,0,0,0,"VD11A"
2011,"AG",,3,18.0406093920824,3,0,3,
2011,"AI",,3,20.3281900563311,0,0,0,
2011,"BE",,3,19.3274993707508,6,0,6,"BE11B"
2011,"BL",,3,24.4442604695256,2,0,2,"BL11A"
2011,"BS",,3,29.1222496976698,2,0,2,"BS11C"
2011,"FR",,3,26.6811624857227,3,1,2,"FR11A"
2011,"GE",,3,19.1352365324663,3,0,3,"GE11A"
2011,"GL",,3,24.5584114995736,0,0,0,
2011,"GR",,3,15.6064763066084,1,0,1,"GR11A"
2011,"JU",,3,30.8280776849343,1,0,1,"JU11A"
2011,"LU",,3,11.466933740352,1,0,1,"LU11B"
2011,"NE",,3,24.7223522593014,1,-1,2,"NE11B"
2011,"SG",,3,16.6866378955538,2,0,2,"SG11C"
2011,"SH",,3,34.5612448600044,1,0,1,"SH11A"
2011,"SO",,3,18.3040599894979,2,0,2,"SO11D"
2011,"SZ",,3,15.6574581555196,1,0,1,"SZ11A"
2011,"TG",,3,12.0816523568153,1,0,1,"TG11A"
2011,"TI",,3,16.5999854261296,1,0,1,"TI11B"
2011,"UR",,3,21.4680412371134,0,0,0,
2011,"VD",,3,25.1586200168621,6,1,5,"VD11A"
2011,"VS",,3,14.6225796194531,2,1,1,"VS11A"
2011,"ZG",,3,5.2721568225146,0,0,0,"ZG11A"
2011,"ZH",,3,19.2724911069565,7,0,7,"ZH11B"
2011,"AG",,4,34.7443919349149,6,0,6,"AG11A"
2011,"AR",,4,30.5041920294016,0,0,0,
2011,"BE",,4,28.9880443196018,8,-1,9,"BE11A"
2011,"BL",,4,26.9461029242272,2,-1,3,
2011,"BS",,4,16.5229319711929,1,0,1,"BS11D"
2011,"FR",,4,21.4491306738864,1,-1,2,"FR11C"
2011,"GE",,4,16.0240226350195,2,0,2,
2011,"GR",,4,24.4859939708024,1,-1,2,"GR11B"
2011,"JU",,4,15.4641287766672,0,0,0,
2011,"LU",,4,25.0988542135809,2,-1,3,
2011,"NE",,4,21.3856751153615,1,0,1,
2011,"NW",,4,45.2300785634119,1,0,1,
2011,"OW",,4,43.1020147105852,0,0,0,
2011,"SG",,4,31.5237714460424,4,-1,5,"SG11B"
2011,"SH",,4,39.860772236346,1,0,1,"SH11C"
2011,"SO",,4,24.3265658662505,2,0,2,"SO11A"
2011,"SZ",,4,37.9847128516493,1,-1,2,"SZ11B"
2011,"TG",,4,38.674298587405,3,0,3,
2011,"TI",,4,9.70654470881754,1,0,1,"TI11A"
2011,"VD",,4,22.9379567174235,4,-1,5,"VD11B"
2011,"VS",,4,19.6819595434005,1,0,1,
2011,"ZG",,4,28.3108067673737,1,0,1,
2011,"ZH",,4,29.8391785083062,11,0,11,"ZH11A"
